9788576570677,FUNDAÇÃO E IMPÉRIO,ISAAC ASIMOV - TRILOGIA DA FUNDAÇÃO,Literatura inglesa (inclui literatura do Canadá),['ISAAC ASIMOV'],f3
A saude de nossos filhos,A saude de nossos filhos,,ISBN não encontrado,,b1
9788576570684,SEGUNDA FUNDAÇÃO,ISAAC ASIMOV - TRILOGIA DA FUNDAÇÃO,Literatura inglesa (inclui literatura do Canadá),['ISAAC ASIMOV'],f3
a cidade da alegria,a cidade da alegria,,ISBN não encontrado,,f3
Tereza batista cansada de guerra,Tereza batista cansada de guerra,,ISBN não encontrado,,f3
O dom de voar,O dom de voar,,ISBN não encontrado,,f3
Um erro judiciario,Um erro judiciario,,ISBN não encontrado,,f3
9788525412775,9788525412775,,ISBN não encontrado,,f3
A Carta Roubada e outras histórias de Edgar Allan Poe,A Carta Roubada e outras histórias de Edgar Allan Poe,,ISBN não encontrado,,f3
9788520923085,O que é arte? : a polêmica visão do autor de guerra e paz,,História da arte,['Leon Tolstói'],f3
9788551002766,Cinquenta tons de liberdade,,Literatura americana,['E.L. James'],f3
Sherlock Holmes 1,Sherlock Holmes 1,,ISBN não encontrado,,b1
Sherlock Holmes 2,Sherlock Holmes 2,,ISBN não encontrado,,b1
9788532519047,9788532519047,,ISBN não encontrado,,f3
Sherlock Holmes 3,Sherlock Holmes 3,,ISBN não encontrado,,b1
Sherlock Holmes 4,Sherlock Holmes 4,,ISBN não encontrado,,b1
Sherlock Holmes 5,Sherlock Holmes 5,,ISBN não encontrado,,b1
Sherlock Holmes 6,Sherlock Holmes 6,,ISBN não encontrado,,b1
Sherlock Holmes 7,Sherlock Holmes 7,,ISBN não encontrado,,b1
Sherlock Holmes 8,Sherlock Holmes 8,,ISBN não encontrado,,b1
Contos dos Irmãos Grimm,Contos dos Irmãos Grimm,,ISBN não encontrado,,f3
9788580574517,A menina que roubava livros,,Outras literaturas; literaturas de outros idiomas,['Markus Zusak'],f3
Literatura comendada Carlos Drummond,Literatura comendada Carlos Drummond,,ISBN não encontrado,,b1
9788520923337,9788520923337,,ISBN não encontrado,,f3
Literatura comendada Lima Barreto,Literatura comendada Lima Barreto,,ISBN não encontrado,,b1
Literatura comendada Castro Alves,Literatura comendada Castro Alves,,ISBN não encontrado,,b1
Literatura comendada Guimaraes Rosa,Literatura comendada Guimaraes Rosa,,ISBN não encontrado,,b1
Literatura comendada Caetano Veloso,Literatura comendada Caetano Veloso,,ISBN não encontrado,,b1
As vidas comparadas dos maiores guerreiros da antiguidade,As vidas comparadas dos maiores guerreiros da antiguidade,,ISBN não encontrado,,f3
O cortiço,O cortiço,,ISBN não encontrado,,b1
9788576571346,Realidades adaptadas: os contos de Philip K. Dick que inspiraram grandes sucessos do cinema,,Literatura americana,['Philip K. Dick'],f3
